,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,concepcion del oro,24.63,-101.42,53.71,45,0,6.82,MX,1604282335
1,douglas,41.3,-96.17,39.99,51,1,4.54,US,1604282335
2,nevers,46.92,3.33,63.0,83,100,4.83,FR,1604282336
3,nokaneng,-19.67,22.27,71.2,36,17,5.88,BW,1604282336
4,nova olimpia,-14.8,-57.29,75.29,66,93,1.97,BR,1604282086
5,nikolskoye,59.7,30.79,35.6,100,90,6.71,RU,1604282336
6,barrow,71.29,-156.79,28.4,63,75,21.92,US,1604282101
7,mataura,-46.19,168.86,57.0,61,75,11.01,NZ,1604282337
8,kodiak,57.79,-152.41,30.2,39,90,14.99,US,1604282337
9,albany,42.6,-73.97,41.0,77,97,8.46,US,1604282337
10,rikitea,-23.12,-134.97,73.92,86,95,24.0,PF,1604281996
11,imeni morozova,59.98,31.04,35.01,99,10,8.43,RU,1604282338
12,ushuaia,-54.8,-68.3,57.2,54,75,3.36,AR,1604282338
13,gazanjyk,39.24,55.52,64.29,28,35,8.23,TM,1604282338
14,hobart,-42.88,147.33,75.99,46,0,6.93,AU,1604281896
15,punta arenas,-53.15,-70.92,51.8,76,0,3.36,CL,1604282339
16,puerto ayora,-0.74,-90.35,69.01,90,100,5.01,EC,1604282339
17,hermanus,-34.42,19.23,63.0,83,89,7.0,ZA,1604282339
18,komsomolskiy,40.43,71.72,41.0,38,100,4.7,UZ,1604282339
19,twin falls,42.35,-114.64,48.0,52,1,4.7,US,1604282340
20,dikson,73.51,80.55,18.0,98,90,8.41,RU,1604282340
21,san andres,12.58,-81.7,80.6,83,90,4.7,CO,1604282283
22,niamey,13.51,2.11,80.6,16,0,9.28,NE,1604282341
23,general pico,-35.66,-63.76,59.52,64,88,9.4,AR,1604282341
24,gat,31.61,34.76,70.0,78,100,1.99,IL,1604282104
25,ginir,7.13,40.7,55.15,92,13,4.72,ET,1604282342
26,tasiilaq,65.61,-37.64,28.4,74,0,4.7,GL,1604282342
27,jamestown,42.1,-79.24,35.01,92,90,13.87,US,1604282342
28,mahebourg,-20.41,57.7,64.4,100,20,4.7,MU,1604282342
29,katsuura,35.13,140.3,68.0,93,75,14.99,JP,1604282343
30,ilulissat,69.22,-51.1,19.4,67,100,6.93,GL,1604282343
31,bluff,-46.6,168.33,57.0,61,53,11.01,NZ,1604282176
32,yellowknife,62.46,-114.35,12.2,85,75,18.34,CA,1604282343
33,suruc,36.98,38.42,64.4,31,75,6.93,TR,1604282344
34,bethel,41.37,-73.41,48.2,81,90,11.41,US,1604282344
35,upernavik,72.79,-56.15,16.47,92,99,3.4,GL,1604282344
36,pisco,-13.7,-76.22,64.4,82,90,14.99,PE,1604282344
37,cidreira,-30.18,-50.21,61.63,65,3,6.08,BR,1604282345
38,nishihara,26.18,127.76,80.6,65,40,11.41,JP,1604282178
39,castro,-24.79,-50.01,48.94,97,24,7.38,BR,1604282345
40,atuona,-9.8,-139.03,77.54,78,83,13.38,PF,1604282345
41,hangu,39.25,117.79,53.6,18,0,20.13,CN,1604282346
42,huarmey,-10.07,-78.15,61.48,85,63,7.05,PE,1604282346
43,saskylakh,71.92,114.08,-8.32,89,91,10.54,RU,1604282346
44,lebu,-37.62,-73.65,52.77,95,74,8.37,CL,1604282346
45,lorengau,-2.02,147.27,87.22,64,38,5.06,PG,1604282347
46,dhidhdhoo,6.88,73.1,82.6,67,10,4.88,MV,1604282347
47,kampong thum,12.71,104.89,80.56,72,62,6.06,KH,1604282347
48,norman wells,65.28,-126.83,5.0,77,75,5.82,CA,1604282154
49,port elizabeth,-33.92,25.57,64.4,88,40,11.41,ZA,1604282348
50,la macarena,2.18,-73.78,71.92,96,87,0.94,CO,1604282348
51,saint-pierre,-21.34,55.48,69.8,56,90,8.05,RE,1604282348
52,hilo,19.73,-155.09,84.2,66,1,5.82,US,1604282272
53,salme,28.04,85.09,59.0,93,20,2.13,NP,1604282349
54,busselton,-33.65,115.33,60.01,88,98,5.08,AU,1604282349
55,khatanga,71.97,102.5,6.55,95,100,6.82,RU,1604282349
56,bredasdorp,-34.53,20.04,64.4,82,100,10.29,ZA,1604282350
57,padang,-0.95,100.35,83.57,63,99,2.46,ID,1604282350
58,cape town,-33.93,18.42,63.0,72,0,8.05,ZA,1604282284
